,AwardType,Name,Project,SubjectArea,Species,Year,Value
200,ResearchProjects,Wynne,Shallow water nearshore fish assembly,Ecosystem,Groundfish,X2002..FY03.,6000
201,ResearchProjects,Springer,Jellyfish impact on food web,Ecosystem,Food web,X2002..FY03.,16350
202,ResearchProjects,Kruse,Examination of maturation-pollock,Stock dynamics,Pollock,X2002..FY03.,92491
203,ResearchProjects,Norcross,Environmental predictors of pollock,Stock dynamics,Pollock,X2002..FY03.,NA
204,ResearchProjects,Mellish,Integrating science and tradition,Marine mammals,Sea lions,X2002..FY03.,NA
205,ResearchProjects,Foy/Buck,Metabolic perf. of pollock,Stock dynamics,Pollock,X2002..FY03.,NA
206,ResearchProjects,Finney,Food web dynamics-Bering Sea,Ecosystem,Food web,X2002..FY03.,NA
207,ResearchProjects,Gharrett,Develop DNA markers-Chum,Bycatch Species,Salmon,X2002..FY03.,NA
208,ResearchProjects,Trites,Changes in Steller Sea Lion skull ,Marine mammals,Sea lions,X2002..FY03.,NA
209,ResearchProjects,Kate Wynne,Predation on Northern fur seals in the Pribilof Is.,Marine mammals,Fur Seals,X2002..FY03.,NA
210,ResearchProjects,Konar,Essential larval/juvenile fish habitat . . . ,Ecosystem,Food web,X2002..FY03.,NA
211,ResearchProjects,Quinn,Acoustic data logger,Stock dynamics,Pollock,X2002..FY03.,NA
212,ResearchProjects,Mellish,Integration science and tradition,Marine mammals,Sea lions,X2002..FY03.,NA
213,ResearchProjects,Kruse,Local and traditional knowledge,Marine mammals,Sea lions,X2002..FY03.,NA
214,ResearchProjects,Springer,Causes of Northern Fur Seal decline,Marine mammals,Fur Seals,X2002..FY03.,NA
215,ResearchProjects,Gallucci/Foy,Bycatch & sharks in Bering Sea,Bycatch Species,Sharks & Rays,X2002..FY03.,NA
216,ResearchProjects,Castlinni,Walleye pollock stock distribution and growth.,Stock dynamics,Pollock,X2002..FY03.,NA
217,ResearchProjects,Gharrett,Combining genetics and population,Bycatch Species,Rockfish,X2002..FY03.,NA
218,ResearchProjects,Johnson,Bering Sea temperatures/walleye,Stock dynamics,Pollock,X2002..FY03.,NA
219,ResearchProjects,Oliveira,Purification of pollock oil,Seafood Science,Pollock,X2002..FY03.,NA
220,ResearchProjects,Mellish,Assess behavior/physiology,Marine mammals,Sea lions,X2002..FY03.,NA
221,ResearchProjects,Springer,Fatty acid comp forage species,Ecosystem,Food web,X2002..FY03.,NA
222,ResearchProjects,Atkinson,Maternal investment impact on SSL pup  ,Marine mammals,Sea lions,X2002..FY03.,NA
223,ResearchProjects,Mathis,Impacts of ocean acidification,Ocean Science,Food web,X2002..FY03.,NA
224,ResearchProjects,Hillgruber,Feeding patterns prey selection,Ecosystem,Food web,X2002..FY03.,NA
225,ResearchProjects,Mellish,Consummate & consumed predators,Marine mammals,Sea lions,X2002..FY03.,NA
226,ResearchProjects,Adkinson,Salmon initiative,Bycatch Species,Salmon,X2002..FY03.,NA
227,ResearchProjects,Kruse,Walleye pollock-maturity,Stock dynamics,Pollock,X2002..FY03.,NA
228,ResearchProjects,Quinn,Skates injuries-longline,Bycatch Species,Sharks & Rays,X2002..FY03.,NA
229,ResearchProjects,Walker,Augmenting SSL projects,Marine mammals,Sea lions,X2002..FY03.,NA
230,ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,X2002..FY03.,NA
231,ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,X2002..FY03.,NA
232,ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,X2002..FY03.,NA
233,ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,X2002..FY03.,NA
234,ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,X2002..FY03.,NA
235,ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,X2002..FY03.,NA
236,ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,X2002..FY03.,NA
237,ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,X2002..FY03.,NA
238,ResearchProjects,McPhee,Effects of Asian pink and chum salmon  ,Bycatch Species,Salmon,X2002..FY03.,NA
239,ResearchProjects,Fong/Oliveira/Smith,Nutritional value of Alaska pollock  ,Seafood Science,Pollock,X2002..FY03.,NA
240,ResearchProjects,Adkison/Westley,Drivers of AYK Chinook salmon survival,Bycatch Species,Salmon,X2002..FY03.,NA
241,ResearchProjects,Kruse,Decline in Pacific halibut size at age,Bycatch Species,Halibut,X2002..FY03.,NA
242,ResearchProjects,Burns/Testa,Maternal foraging of Northern Fur Seals,Marine mammals,Fur Seals,X2002..FY03.,NA
243,ResearchProjects,Fong/Park,Gel enhancement of Alaska Pollock surimi,Seafood Science,Pollock,X2002..FY03.,NA
244,ResearchProjects,Fong/Sannito,Alternative product forms for Pollock roe,Seafood Science,Pollock,X2002..FY03.,NA
245,ResearchProjects,Rea/Wade,"Behavior of ""resident"" killer whales",Marine mammals,Orca,X2002..FY03.,NA
246,ResearchProjects,Fong et al,Development of value-added market opportunities for pollock co-products (dietary supplements from milt),Seafood Science,Pollock,X2002..FY03.,NA
247,ResearchProjects,Hopcroft,First-year pollock and their zooplankton predators in the northern Gulf of Alaska,Ecosystem,Pollock,X2002..FY03.,NA
248,ResearchProjects,McPhee et al,Improved resolution of chum salmon genetic stock identification,Bycatch Species,Salmon,X2002..FY03.,NA
249,ResearchProjects,Seitz,Further examination of the movement behavior and predation of Chinook salmon in the Bering Sea,Bycatch Species,Salmon,X2002..FY03.,NA
250,Misc,Merritt,Instruction in Fisheries Management,NA,NA,X2002..FY03.,NA
251,Misc,Sugai,NOSB Western Alaska Support,NA,NA,X2002..FY03.,NA
252,Misc,Whitledge,Keeping Mooring 2 Alive-Biophysical,Ocean Science,Food web,X2002..FY03.,NA
253,Misc,Henrichs,Keeping Mooring 2 Alive-Sinking Particles,Ocean Science,Food web,X2002..FY03.,37509
